,Proteomics,MIF,Druggability,Structure,MSF,TM,Target,Essential,prediction,Product Description,Gene Name or Symbol
PF3D7_0111700,0.2293394338004003,0.4559333333333333,0.6659999999999999,0.5042735042735043,-3.2772,0.0,0,0.0,0.2869339136754912,"conserved protein, unknown function",
PF3D7_0112000,0.7273377180440378,0.7053333333333334,0.286,0.854586129753915,-0.0184999999999999,0.0,0,1.0,0.598885026956561,TatD-like deoxyribonuclease,TatD
PF3D7_0202500,0.7273377180440378,0.7347,0.4285,0.3962264150943396,-0.5498,1.0,0,0.0,0.07613319587319538,early transcribed membrane protein 2,ETRAMP2
PF3D7_0202700,0.2293394338004003,0.0981,0.089,0.6505576208178439,-2.8280000000000003,0.0,0,1.0,0.33749068535926724,octaprenyl pyrophosphate synthase,OPP
PF3D7_0202800,0.2293394338004003,0.7873333333333333,0.202,0.9,-1.7174,0.0,0,0.0,0.2810371306397598,"conserved Plasmodium protein, unknown function",
PF3D7_0202900,0.2293394338004003,0.9959333333333332,0.442,0.940766550522648,0.2225999999999999,5.0,0,0.0,0.17619852725663593,"palmitoyltransferase DHHC12, putative",DHHC12
PF3D7_0203200,0.2293394338004003,0.9627,0.2314999999999999,0.0907297830374753,0.6045,0.0,0,0.0,0.004286049691635294,"conserved Plasmodium protein, unknown function",
PF3D7_0203300,0.2293394338004003,0.7119666666666666,0.5455000000000001,0.8471074380165289,0.0866499999999999,0.0,0,1.0,0.4596031758727144,"ERCC1 nucleotide excision repair protein, putative",ERCC1
PF3D7_0203400,0.5075779239348013,0.998,0.144,0.1208791208791208,-2.427,0.0,0,0.0,0.08671948624301709,"conserved protein, unknown function",
PF3D7_0203600,0.2293394338004003,0.8683000000000001,0.453,0.4472440944881889,0.3766999999999999,1.0,0,0.0,0.02378052078641909,"conserved Plasmodium protein, unknown function",
PF3D7_0203800,0.2293394338004003,0.9898666666666666,0.7395,0.6974169741697417,1.73365,0.0,0,0.0,0.04366636163566688,"WD repeat-containing protein, putative",
PF3D7_0204000,0.2293394338004003,0.998,0.6865,0.1079046424090338,0.5703500000000001,0.0,0,0.0,0.0122732361377671,"condensin-2 complex subunit H2, putative",CAPH2
PF3D7_0204100,0.7273377180440378,0.715,0.3285,0.5632458233890215,-0.33555,0.0,0,1.0,0.4228204328899298,"Sel1 repeat-containing protein, putative",
PF3D7_0204300,0.2293394338004003,0.9682,0.3315,0.2471264367816092,0.38205,0.0,0,0.0,0.011275693160034466,"conserved Plasmodium protein, unknown function",
PF3D7_0204400,0.2293394338004003,0.9914333333333332,0.133,0.897196261682243,2.09165,0.0,0,0.0,0.0212597195668384,"dynein light chain, putative",
PF3D7_0204500,0.6331140977981127,0.3586,0.2965,1.0,-0.8076,0.0,0,0.0,0.21694653761468977,aspartate transaminase,AspAT
PF3D7_0204600,0.2293394338004003,0.9856,0.5615,0.3754208754208754,0.3374499999999999,1.0,0,0.0,0.029811498077865078,"5'-3' exonuclease, putative",
PF3D7_0204700,0.9375178724621104,0.1610666666666666,0.205,0.8988095238095238,-2.3157500000000004,12.0,1,1.0,0.8075748857200834,hexose transporter,HT1
PF3D7_0204800,0.2293394338004003,0.997,0.39,0.8028846153846154,0.3387,0.0,0,0.0,0.09993456757802731,"3'-5' exonuclease, putative",
PF3D7_0205200,0.2293394338004003,0.4884,0.623,0.9132653061224488,-1.8029,0.0,0,0.0,0.3453898124978824,"MORN repeat protein, putative",
PF3D7_0205300,0.2293394338004003,0.9898333333333332,0.5855,0.3068181818181818,0.9878,0.0,0,0.0,0.014566545862382117,"conserved Plasmodium protein, unknown function",
PF3D7_0205400,0.6642836717186159,0.0986333333333333,0.3455,0.9059080962800876,-2.5782,0.0,0,1.0,0.8045819766209908,"PCI domain-containing protein, putative",
PF3D7_0205600,0.6331140977981127,0.1182666666666666,0.3585,0.7968503937007874,-2.48615,0.0,0,1.0,0.7192224481486976,"conserved Plasmodium protein, unknown function",
PF3D7_0205700,0.2293394338004003,0.4672,0.497,0.7170731707317073,0.0754000000000001,0.0,0,1.0,0.22116251308253132,"RNA-binding protein, putative",
PF3D7_0205700,0.2293394338004003,0.4672,0.497,0.7170731707317073,0.0754000000000001,0.0,0,1.0,0.22116251308253132,"RNA-binding protein, putative",
PF3D7_0205800,0.2293394338004003,0.1438,0.1275,0.925,-2.7214,0.0,0,1.0,0.6056629011374541,"PH domain-containing protein, putative",PH1
PF3D7_0205900,0.7505364039479331,0.1253666666666666,0.3389999999999999,0.505175983436853,-2.441,0.0,0,1.0,0.5065246001509603,"26S proteasome regulatory subunit RPN1, putative",RPN1
PF3D7_0206100,0.2293394338004003,0.2548,0.721,0.7469879518072289,-1.388,1.0,0,1.0,0.5113690448353293,cysteine desulfuration protein SufE,SufE
PF3D7_0206200,0.2293394338004003,0.9367333333333332,0.7315,0.736283185840708,0.7153999999999998,11.0,0,1.0,0.4096852841389241,pantothenate transporter,PAT
PF3D7_0206600,0.2293394338004003,0.4360333333333333,0.2215,0.8301886792452831,-1.11745,0.0,0,0.0,0.08160263974071154,"DNA-directed RNA polymerase III subunit RPC10, putative",
PF3D7_0206700,0.6642836717186159,0.1295333333333333,0.3864999999999999,0.9660297239915074,-2.3035,0.0,0,1.0,0.8257336084032125,adenylosuccinate lyase,ADSL
PF3D7_0206900,0.5085787818129825,0.7066333333333334,0.004,0.0620155038759689,-0.2309999999999999,2.0,0,0.0,0.004810418923919624,merozoite surface protein 5,MSP5
PF3D7_0206900,0.5085787818129825,0.7066333333333334,0.004,0.0620155038759689,-0.2309999999999999,2.0,0,0.0,0.004810418923919624,merozoite surface protein 5,MSP5
PF3D7_0207100,0.7505364039479331,0.8343333333333334,0.951,0.1346704871060172,0.4606999999999999,0.0,0,0.0,0.04665767515195929,"conserved Plasmodium protein, unknown function",
PF3D7_0207200,0.2293394338004003,0.1709666666666666,0.0575,0.69375,-2.69895,0.0,0,1.0,0.3713491163348966,"iron-sulfur assembly protein, putative",ISCA1
PF3D7_0207300,0.2293394338004003,0.9933,0.5529999999999999,0.6086956521739131,0.3824499999999999,0.0,0,0.0,0.06636719822926204,serine repeat antigen 8,SERA8
PF3D7_0207400,0.7436374034887046,0.996,0.473,0.6691331923890064,0.3121,1.0,0,0.0,0.17937424952725167,serine repeat antigen 7,SERA7
PF3D7_0207500,0.6642836717186159,0.7384,0.282,0.5528612997090203,-0.0181500000000001,0.0,0,1.0,0.3146322525894751,serine repeat antigen 6,SERA6
PF3D7_0207600,0.7273377180440378,0.7200000000000001,0.6950000000000001,0.5818921668362157,0.2314499999999999,0.0,0,1.0,0.5031950097307591,serine repeat antigen 5,SERA5
PF3D7_0208100,0.7436374034887046,0.9996666666666668,0.45,0.286193404136389,1.9067,0.0,0,0.0,0.0133606158002476,"C2 domain-containing protein 5, putative",
PF3D7_0208300,0.2293394338004003,0.1089999999999999,0.5820000000000001,0.4017758046614872,-2.4022,1.0,0,1.0,0.2738957198639997,"conserved Plasmodium protein, unknown function",
PF3D7_0208500,0.7505364039479331,0.231,0.5525,0.5912408759124088,-3.465,0.0,0,1.0,0.8639381848725849,acyl carrier protein,ACP
PF3D7_0208600,0.8909064912782385,0.1408333333333333,0.148,0.3875502008032128,-2.3909,0.0,0,1.0,0.37288943017635157,ribosome-recycling factor,RRF1
PF3D7_0208700,0.8169859879897055,0.9374666666666666,0.1614999999999999,0.9504504504504504,0.40415,0.0,0,0.0,0.24289997797108648,"SHS2 domain-containing protein, putative",
PF3D7_0208800,0.8204175007148985,0.6968,0.3925,0.3234042553191489,-0.6228,1.0,0,1.0,0.3308460282469536,"protein P22, putative",
PF3D7_0208900,0.2293394338004003,0.9996666666666668,0.631,0.3038277511961722,0.6683999999999999,1.0,0,0.0,0.0206633637740848,6-cysteine protein P230p,P230p
PF3D7_0209100,0.8169859879897055,0.9960333333333334,0.1679999999999999,0.6318114874815906,0.2049999999999999,0.0,0,0.0,0.11777166020004529,patatin-like phospholipase 1,PATPL1
PF3D7_0209200,0.7436374034887046,0.3320333333333333,0.1714999999999999,0.84,0.6852499999999999,0.0,0,1.0,0.22429634881506844,"exosome complex component MTR3, putative",MTR3
PF3D7_0209400,0.5932227623677437,0.983,0.1045,0.9355555555555556,0.0902499999999999,0.0,0,0.0,0.20120976692654163,"ARMT1-like domain-containing protein, putative",
PF3D7_0209600,0.5808897153483049,0.1038,0.8400000000000001,0.5962897526501767,-2.31705,13.0,0,1.0,0.6743760802096287,"transporter, putative",
PF3D7_0209700,0.2293394338004003,0.6553,0.3859999999999999,0.4401408450704225,0.8793500000000001,0.0,0,0.0,0.008642778480930612,"RING zinc finger protein, putative",
PF3D7_0209800,0.6642836717186159,0.1563333333333333,0.1395,0.7899343544857768,-2.16775,0.0,0,1.0,0.5896404608720885,ATP-dependent RNA helicase UAP56,UAP56
PF3D7_0210000,0.2293394338004003,0.1804,0.4014999999999999,0.8271604938271605,-0.69515,1.0,0,1.0,0.2644207685038132,secretory complex protein 61 gamma subunit,Sec61-gamma
PF3D7_0210100,0.8096123587469604,0.1165333333333333,0.1445,0.9791666666666666,-2.8193,0.0,0,1.0,0.860152572453735,"60S ribosomal protein L37ae, putative",RPL37A
PF3D7_0210100,0.8096123587469604,0.1165333333333333,0.1445,0.9791666666666666,-2.8193,0.0,0,1.0,0.860152572453735,"60S ribosomal protein L37ae, putative",RPL37A
PF3D7_0210300,0.2293394338004003,0.1212666666666666,0.7765,0.8293216630196937,-2.47185,12.0,0,1.0,0.7234436346122002,"monocarboxylate transporter, putative",
PF3D7_0210400,0.2293394338004003,0.1316666666666666,0.2405,0.7647058823529411,-2.69615,0.0,0,1.0,0.5020681681233886,"50S ribosomal protein L33, putative",
PF3D7_0210500,0.2293394338004003,0.0911999999999999,0.9285,0.1857355126300148,-2.4593,0.0,0,1.0,0.2538895066669807,"conserved Plasmodium protein, unknown function",
PF3D7_0210600,0.4628252788104089,0.4451333333333333,0.2605,0.7825112107623319,-0.2453,0.0,0,1.0,0.3091303251767649,protein CERLI1,CERLI1
PF3D7_0210700,0.8909064912782385,0.1488,0.288,0.6401273885350318,-2.5546,1.0,0,1.0,0.6975128124522604,"syntaxin, Qa-SNARE family",SYN17
PF3D7_0210900,0.7505364039479331,0.6875666666666667,0.3455,0.0739436619718309,-0.2370499999999999,0.0,0,1.0,0.1006146820838391,"conserved Plasmodium protein, unknown function",
PF3D7_0211100,0.2293394338004003,0.6842,0.4609999999999999,0.4094558429973238,-0.0208000000000001,0.0,0,0.0,0.019955610779128555,"conserved Plasmodium protein, unknown function",
PF3D7_0211300,0.2293394338004003,0.1176999999999999,0.283,0.7636986301369864,-2.49735,0.0,0,1.0,0.47287478208863326,"ubiquinol-cytochrome-c reductase complex assembly factor 1, putative",
PF3D7_0211400,0.2293394338004003,0.9485333333333332,0.4865,0.862533692722372,0.1473999999999999,0.0,0,0.0,0.15030820627453842,beta-ketoacyl-ACP synthase III,KASIII
PF3D7_0211500,0.2293394338004003,0.9966666666666668,0.8,0.210441767068273,1.49365,3.0,0,0.0,0.010033898064186378,"GAF domain-related protein, putative",
PF3D7_0211600,0.2293394338004003,0.3581,0.4215,0.9234449760765552,-0.3348,4.0,0,1.0,0.35991100610501603,"UDP-N-acetylglucosamine transferase subunit ALG14, putative",ALG14
PF3D7_0211700,0.2293394338004003,0.997,0.657,0.2976480129764801,0.5722499999999999,0.0,0,1.0,0.14514361758880792,"tyrosine kinase-like protein, putative",TKL1
PF3D7_0211800,0.5932227623677437,0.1333,0.507,0.8475409836065574,-2.25085,0.0,0,1.0,0.7645406868369007,asparagine--tRNA ligase,AsnRS
PF3D7_0211900,0.2293394338004003,0.3509,0.1574999999999999,0.4822222222222222,-2.27805,0.0,0,1.0,0.2537138368253285,"pseudouridine synthase, putative",
PF3D7_0212000,0.2293394338004003,0.1229333333333333,0.5515,0.8842443729903537,-2.5398,7.0,0,1.0,0.6980021995165188,"GDP-fructose:GMP antiporter, putative",
PF3D7_0212200,0.8909064912782385,0.1163333333333333,0.184,0.4313725490196078,-2.26535,0.0,0,1.0,0.3906534440086304,"ribosomal protein L12, mitochondrial, putative",
PF3D7_0212300,0.7436374034887046,0.1327666666666666,0.1485,0.918032786885246,-2.6007,0.0,0,1.0,0.7893914180261923,"eukaryotic peptide chain release factor subunit 1, putative",ERF1
PF3D7_0212600,0.2293394338004003,0.3936999999999999,0.581,0.756,-2.08815,0.0,0,0.0,0.21902222814871464,secreted protein with altered thrombospondin repeat domain,SPATR
PF3D7_0212700,0.7273377180440378,0.6072000000000001,0.0795,0.610738255033557,-1.82575,0.0,0,1.0,0.5964057871304741,SRR1-like protein,
PF3D7_0212800,0.2293394338004003,0.9084,0.983,0.2916666666666667,0.1787,11.0,0,0.0,0.04281365930745684,"multidrug efflux pump, putative",MATE
PF3D7_0212900,0.8096123587469604,0.9867,0.212,0.8027397260273973,1.0946,0.0,0,0.0,0.11189355261173256,arginyl-tRNA--protein transferase,ATEL1
PF3D7_0213000,0.2293394338004003,0.1079,0.1074999999999999,0.8855421686746988,-2.6638,1.0,0,1.0,0.5267751783536317,"conserved protein, unknown function",
PF3D7_0213100,0.8096123587469604,0.5566,0.5115000000000001,0.7560975609756098,-0.0335499999999999,0.0,0,1.0,0.5814389171185848,protein SIS1,SIS1
PF3D7_0213200,0.2293394338004003,0.6396333333333334,0.2425,0.7380952380952381,-0.38145,1.0,0,1.0,0.2817882216693151,"mitochondrial respiratory chain complex II subunit, putative",
PF3D7_0213400,0.2293394338004003,0.9914,0.6214999999999999,0.978125,2.342,0.0,0,0.0,0.05834224811018033,protein kinase 7,PK7
PF3D7_0213500,0.7273377180440378,0.9777,0.133,0.6239130434782608,-0.0283999999999999,0.0,0,0.0,0.10615700511951749,"tetratricopeptide repeat protein, putative",
PF3D7_0213600,0.2293394338004003,0.9976666666666666,0.969,0.1058726220016542,2.1782000000000004,0.0,0,0.0,0.005556069265276257,"conserved Plasmodium protein, unknown function",
PF3D7_0213700,0.8737489276522734,0.6522666666666667,0.35,0.9090909090909092,-1.4263500000000002,0.0,0,1.0,0.8885863165970954,"conserved protein, unknown function",
PF3D7_0213900,0.7436374034887046,0.1898333333333333,0.8575,0.1003430531732418,-2.0358,0.0,0,1.0,0.33770985985424196,"RTR1 domain-containing protein, putative",
PF3D7_0214000,0.6331140977981127,0.1144,0.3795,0.940959409594096,-2.8107,0.0,0,1.0,0.8556577261036504,T-complex protein 1 subunit theta,CCT8
PF3D7_0214100,0.68974395651552,0.1746666666666666,0.491,0.5037389530931339,-2.0650500000000003,0.0,0,1.0,0.49807591533050444,protein transport protein SEC31,SEC31
PF3D7_0214200,0.2293394338004003,0.1608333333333333,0.0625,0.6415094339622641,-0.77325,0.0,0,1.0,0.0876381781014314,"ribosomal protein L13, mitochondrial",mRPL13
PF3D7_0214400,0.7436374034887046,0.2946,0.4489999999999999,0.2649434571890145,-2.1699,0.0,0,1.0,0.3717797815923939,"protein LTV1, putative",
PF3D7_0214500,0.2293394338004003,0.6967666666666666,0.433,0.8594771241830066,0.5094000000000001,0.0,0,1.0,0.3267691382804853,"conserved Plasmodium protein, unknown function",
PF3D7_0214800,0.5579067772376323,0.0877,0.8985000000000001,0.2808169219547775,-2.4823,11.0,0,1.0,0.43820666115824686,"conserved Plasmodium membrane protein, unknown function",
PF3D7_0214900,0.541410384780432,0.6821333333333334,0.4605,0.26,-1.41845,0.0,0,1.0,0.33057811310722157,rhoptry neck protein 6,RON6
PF3D7_0215000,0.7436374034887046,0.9575666666666668,0.7625,0.7548022598870057,1.3486,0.0,0,0.0,0.17155970672643783,acyl-CoA synthetase,ACS9
PF3D7_0215700,0.6331140977981127,0.1243333333333333,0.624,0.8261194029850746,-2.1971,0.0,0,1.0,0.7926312790862443,"DNA-directed RNA polymerase II subunit RPB2, putative",RPB2
PF3D7_0215800,0.8572450293234158,0.1066333333333333,0.031,0.4349276974416017,-2.3201,0.0,0,1.0,0.3160696577791405,origin recognition complex subunit 5,ORC5
PF3D7_0215900,0.2293394338004003,0.9795333333333334,0.5575,0.8423076923076923,1.11285,4.0,0,0.0,0.07938095873957116,"palmitoyltransferase DHHC11, putative",DHHC11
